route,title,title_len,desc_len,h1_count,h1,h2_count,words,faq_count,schema_types,has_article_dates,has_author,has_sources,first_para_len,definition_lede,internal_links_out,inbound_links,images_missing_alt,canonical_ok,seo_score,aeo_score,geo_score,flags
/,AI Video Management & Virtual Patrolling Software | Camzify,59,150,1,Every camera watched.Every site checked.,17,3803,13,FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,39,True,113,214,0,True,100,80,100,
/about,"About Camzify | AI Video Surveillance, Singapore | Camzify",58,149,1,About Camzify,6,276,0,BreadcrumbList LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,55,True,104,214,0,True,88,100,80,thin:276w
/about/muhammad-talha,Muhammad Talha | Product Manager and CTO at Camzify | Camzify,61,88,1,Muhammad Talha,5,341,0,BreadcrumbList LocalBusiness Organization Person SoftwareApplication WebPage WebSite,False,False,False,42,False,112,35,0,True,88,80,100,thin:341w lede-not-definition
/accessibility,Accessibility | Camzify,23,139,1,Accessibility,5,514,4,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,54,False,104,214,0,True,88,80,100,thin:514w lede-not-definition
/ai-features,Intelligent Video Analytics | 23 AI Detections | Camzify,56,140,1,"Intelligent video analytics, feature by feature",4,717,4,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,49,False,104,214,0,True,100,80,100,lede-not-definition
/ai-features/abandoned-object-detection,Abandoned Object Detection | Unattended Bags | Camzify,54,123,1,Abandoned object detection,9,1018,6,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,29,False,105,214,0,True,100,80,100,lede-not-definition
/ai-features/aggression-and-fight-detection,Aggression & Fight Detection on Cameras | Camzify,49,154,1,Aggression & fight detection,9,981,6,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,32,False,106,214,0,True,100,80,100,lede-not-definition
/ai-features/ai-attribute-extraction,AI Attribute Extraction | Describe Who Was Seen | Camzify,57,146,1,AI attribute extraction,9,829,6,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,49,True,103,214,0,True,100,100,100,
/ai-features/behavioral-anomaly-detection,Behavioral Anomaly Detection | Watch For This | Camzify,55,142,1,Behavioral anomaly detection,7,1092,7,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,62,False,105,214,0,True,100,80,100,lede-not-definition
/ai-features/camera-tampering-detection,Camera Tampering Detection | Five Modes | Camzify,49,125,1,Camera tampering detection,9,978,6,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,44,True,103,214,0,True,100,100,100,
/ai-features/cross-camera-journey-map,Cross-Camera Journey Map | Path Reconstruction | Camzify,56,149,1,Cross-Camera journey map,9,1010,6,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,33,False,105,214,0,True,100,80,100,lede-not-definition
/ai-features/fire-and-smoke-detection,Fire & Smoke Detection on Security Cameras | Camzify,52,131,1,Fire & smoke detection,9,1048,6,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,35,False,104,214,0,True,100,80,100,lede-not-definition
/ai-features/forensic-video-search,AI Suspect Search | Forensic Video Search Software | Camzify,60,139,1,AI suspect search,9,1095,6,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,44,True,104,214,0,True,100,100,100,
/ai-features/heatmap-anomalies,Heatmap Anomalies | Foot Traffic Pattern Alerts | Camzify,57,143,1,Heatmap anomalies,9,960,6,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,30,False,104,214,0,True,100,80,100,lede-not-definition
/ai-features/illegal-parking-detection,Illegal Parking Detection | Camera Enforcement | Camzify,56,138,1,Illegal parking detection,9,954,6,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,28,False,106,214,0,True,100,80,100,lede-not-definition
/ai-features/line-intrusion-detection,Line Intrusion Detection | Virtual Tripwire | Camzify,53,152,1,Line intrusion detection,9,996,6,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,47,True,104,214,0,True,100,100,100,
/ai-features/littering-detection,Littering Detection on Security Cameras | Camzify,49,123,1,Littering detection,9,868,6,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,31,False,103,214,0,True,100,80,100,lede-not-definition
/ai-features/loitering-detection,Loitering Detection | Dwell Time Alerts | Camzify,49,139,1,Loitering detection,9,1185,6,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,64,True,104,214,0,True,100,100,100,
/ai-features/motion-detection,Motion Detection | AI Motion Detection Software | Camzify,57,141,1,Motion detection,9,1197,8,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,49,True,103,214,0,True,100,100,100,
/ai-features/multi-object-tracking,Multi-Object Tracking | The Layer Beneath | Camzify,51,132,1,Multi-Object tracking,9,921,6,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,54,True,103,214,0,True,100,100,100,
/ai-features/occupancy-and-peak-hour-trends,People Counting & Occupancy Trends From Cameras | Camzify,57,127,1,Occupancy & peak hour trends,9,849,7,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,30,False,104,214,0,True,100,80,100,lede-not-definition
/ai-features/ppe-violation-detection,"PPE Violation Detection | Hats, Vests, Gloves | Camzify",55,135,1,PPE violation detection,9,1043,6,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,32,False,103,214,0,True,100,80,100,lede-not-definition
/ai-features/slip-and-fall-detection,Slip & Fall Detection on Security Cameras | Camzify,51,147,1,Slip & fall detection,9,1014,6,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,37,False,104,214,0,True,100,80,100,lede-not-definition
/ai-features/tailgating-detection,Tailgating Detection at Controlled Doors | Camzify,50,128,1,Tailgating detection,9,1027,6,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,28,False,105,214,0,True,100,80,100,lede-not-definition
/ai-features/vehicle-damage-report,Vehicle Damage Report From Camera Frames | Camzify,50,137,1,Vehicle damage report,9,931,6,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,31,False,105,214,0,True,100,80,100,lede-not-definition
/ai-features/weapons-detection,Gun & Weapons Detection on Cameras | Visible Only | Camzify,59,130,1,Weapons detection,9,990,7,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,34,False,105,214,0,True,100,80,100,lede-not-definition
/ai-features/wrong-way-vehicle-detection,Wrong-Way Vehicle Detection on Cameras | Camzify,48,125,1,Wrong-Way vehicle detection,9,905,6,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,30,False,105,214,0,True,100,80,100,lede-not-definition
/ai-features/zone-intrusion-detection,Zone Intrusion Detection | Restricted Areas | Camzify,53,147,1,Zone intrusion detection,9,1031,6,BreadcrumbList FAQPage LocalBusiness Organization SoftwareApplication WebPage WebSite,False,False,False,44,True,104,214,0,True,100,100,100,
