cluster,keyword,seen_on,intent,priority,camzify_page_today,action,search_volume,keyword_difficulty
Category,cloud vms,"Eagle Eye, Solink, 3dEYE",commercial,own,/platform,Owned. Keep as the platform title; the cloud cluster feeds it.,590,50
Category,ai cloud vms,Solink,commercial,high,/platform,Add the phrase once to the platform H1 area; Solink has a dedicated page.,no data (not in the 2026-09-18 overview pull),
Category,cloud video surveillance,"Eagle Eye, Cloudastructure",commercial,own,/cloud-video-surveillance,Owned by the pillar.,260,18
Category,video surveillance as a service (vsaas),"Solink LP, Eagle Eye whitepaper, Pro-Vigil glossary",informational,high,(none),Partly done 2026-09-17: FAQ on the pillar; the guide is still to write. New guide: what VSaaS is and how it differs from a cloud VMS; link from the cloud pillar and llms.txt.,video surveillance as a service: 40; vsaas: 140,video surveillance as a service: no data; vsaas: no data
Category,cloud video recording,Cloudastructure,commercial,medium,/platform/video-backup-and-retention,Done 2026-09-17: title and FAQ on the backup page. Add the phrase to the title or H1 of the backup page.,40,8
Category,cloud business security camera system,Solink LP,commercial,medium,/cloud-video-surveillance,Add a section or FAQ answering the phrase; buyers use 'business camera system' more than 'VMS'.,no data (not in the 2026-09-18 overview pull),
Category,cctv security system,Solink LP,commercial,support,/cloud-video-surveillance,"Support phrase on the pillar; do not build a page, it implies hardware.",1900,50
Category,security camera system / security cameras,"Coram, Rhombus, Verkada",transactional,skip,(hardware),Skip: Camzify sells no cameras. Never let it become an H1.,22200,50
Category,hybrid cloud video surveillance,3dEYE,commercial,high,(none),"New guide: hybrid cloud, keep the NVR and add the cloud for the cameras that matter; matches the bandwidth guidance already on the site.",10,no data
Category,cloud nvr / nvr alternative,"Coram (/nvr), 3dEYE",commercial,own,/guides/what-is-a-cloud-nvr,Owned by the new guide; the pillar carries the phrase.,cloud nvr: 90; nvr alternative: 10,cloud nvr: 1; nvr alternative: no data
Category,ip camera hosting / camera to cloud,"Pro-Vigil feature, Eagle Eye camera direct",commercial,medium,/camera-connectivity,Done 2026-09-17: FAQ on camera connectivity. Add 'IP camera cloud hosting' to the connectivity page copy and FAQ.,ip camera hosting: 10; camera to cloud: 70,ip camera hosting: no data; camera to cloud: 6
Category,video management system (vms),"Pro-Vigil glossary, Eagle Eye",informational,high,/guides/what-is-a-cloud-vms,Definition exists inside the cloud VMS guide; a short glossary entry would rank for the bare term.,video management system: 880; vms: 60500,video management system: 47; vms: 17
Remote monitoring,remote video monitoring,"Eagle Eye, Pro-Vigil glossary, Cloudastructure",commercial,own,/use-cases/remote-video-monitoring,Owned. Strengthen with a cost angle: Pro-Vigil ranks with a cost guide.,210,1
Remote monitoring,remote video monitoring cost,Pro-Vigil blog,commercial,high,/guides/remote-guarding-cost,Done 2026-09-17: title and FAQ on the remote guarding cost guide. Retitle or add an H2 so the guide carries 'remote video monitoring cost' explicitly.,no data (not in the 2026-09-18 overview pull),
Remote monitoring,remote guarding,Cloudastructure,commercial,own,"/virtual-guard, /partners/for-security-agencies",Owned across two pages; keep.,110,no data
Remote monitoring,virtual guard / virtual security guard,Pro-Vigil glossary,commercial,own,/virtual-guard,Owned.,virtual guard: 480; virtual security guard: 210,virtual guard: no data; virtual security guard: no data
Remote monitoring,ai security guard,Spot AI,commercial,high,/virtual-guard,Done 2026-09-17: FAQ on the virtual guard page. Add the phrase to the virtual guard page: Spot AI has a dedicated page for it.,50,no data
Remote monitoring,video alarm monitoring / video alarms,"Solink, Rhombus",commercial,high,/use-cases/alarm-verification,Done 2026-09-17: title and FAQ on alarm verification. Add 'video alarm monitoring' to the title and an H2; Solink and Rhombus both have product pages.,video alarm monitoring: 90; video alarms: 210,video alarm monitoring: no data; video alarms: 20
Remote monitoring,video verification,Pro-Vigil glossary,informational,medium,/use-cases/alarm-verification,Covered; add a two-sentence definition block.,210,16
Remote monitoring,security operations center (soc),"Solink LP, Pro-Vigil glossary",informational,medium,/partners/for-monitoring-centers,New glossary entry or guide: what a SOC does and how a monitoring center runs rounds from it.,2900,31
Remote monitoring,central station / central monitoring station,Pro-Vigil glossary,informational,medium,(none),Glossary entry; the brief notes the site uses 'monitoring center' and never these phrases.,central station: 27100; central monitoring station: 140,central station: 16; central monitoring station: 2
Remote monitoring,daytime monitoring,Pro-Vigil,commercial,low,(none),Niche; skip unless the business sells daytime rounds specifically.,no data (not in the 2026-09-18 overview pull),
